# s  	mu_x  	mu_y  	beta_x  	beta_y  	alpha_x  	alpha_y  	D_x  	D_y  	Dp_x  	Dp_y
3.429920000000000186e+02 9.829078290999999634e-01 1.017198143999999971e+00 4.695332496000000333e+01 7.399244315999999344e+01 1.001852460000000056e+00 -1.468747478000000051e+00 5.425876915999999994e+00 0.000000000000000000e+00 -1.017631338000000024e-01 0.000000000000000000e+00
3.496320000000000050e+02 1.008896392000000031e+00 1.029791311000000098e+00 3.553033161999999834e+01 9.537266986999999574e+01 7.184971410999999586e-01 -1.750995748000000019e+00 4.776627622000000351e+00 0.000000000000000000e+00 -9.331244476000000176e-02 0.000000000000000000e+00
3.518797000000000139e+02 1.019428790999999945e+00 1.033392934999999957e+00 3.251599763000000110e+01 1.034594826999999952e+02 6.225777303999999734e-01 -1.846821072000000008e+00 4.566889240000000072e+00 0.000000000000000000e+00 -9.331244476000000176e-02 0.000000000000000000e+00
3.616696999999999775e+02 1.063816866000000028e+00 1.049666350000000081e+00 4.257225367000000205e+01 8.102502991000000065e+01 -9.098150104000000127e-01 1.578826706999999940e+00 4.989983407000000426e+00 0.000000000000000000e+00 7.580231959000000019e-02 0.000000000000000000e+00
3.683097000000000207e+02 1.085421584000000106e+00 1.064603980000000005e+00 5.654732707000000147e+01 6.195375727999999782e+01 -1.194888305999999956e+00 1.293296739000000084e+00 5.519755510000000420e+00 0.000000000000000000e+00 8.425300862000000002e-02 0.000000000000000000e+00
3.749596999999999980e+02 1.101774326999999998e+00 1.084340156000000110e+00 7.433773494999999798e+01 4.665684317000000192e+01 -1.480390934000000103e+00 1.006945052000000063e+00 6.106482091000000167e+00 0.000000000000000000e+00 9.270369764999999984e-02 0.000000000000000000e+00
3.753596999999999753e+02 1.102623939999999969e+00 1.085716474999999903e+00 7.552891701000000069e+01 4.585819352000000038e+01 -1.497564217000000086e+00 9.896790884999999705e-01 6.143563570000000418e+00 0.000000000000000000e+00 9.270369764999999984e-02 0.000000000000000000e+00
3.816197000000000230e+02 1.114337214000000076e+00 1.110631474000000063e+00 9.596060746000000563e+01 3.515611175000000088e+01 -1.766322893999999977e+00 7.198576733999999533e-01 6.750332161000000220e+00 0.000000000000000000e+00 1.011543867000000013e-01 0.000000000000000000e+00
3.870573999999999728e+02 1.122689808999999928e+00 1.137455182999999925e+00 1.044961511999999999e+02 3.199203616999999866e+01 1.871500882999999948e+00 -6.129187426000000105e-01 6.913127230999999817e+00 0.000000000000000000e+00 -1.494519863000000059e-01 0.000000000000000000e+00
3.936773999999999774e+02 1.134108982999999959e+00 1.166360582999999895e+00 8.160601522999999702e+01 4.198895163000000252e+01 1.586262454999999960e+00 -8.971123968999999976e-01 5.950216544999999968e+00 0.000000000000000000e+00 -1.410012972999999947e-01 0.000000000000000000e+00
4.003374000000000024e+02 1.148985772000000072e+00 1.188320261000000100e+00 6.238838058000000331e+01 5.584157051999999766e+01 1.299300512000000074e+00 -1.182752479999999995e+00 5.037608739000000391e+00 0.000000000000000000e+00 -1.325506082000000030e-01 0.000000000000000000e+00
4.069873999999999796e+02 1.168577471999999950e+00 1.204874079999999958e+00 4.701328739000000212e+01 7.346735275999999715e+01 1.012769448000000017e+00 -1.467603027000000004e+00 4.182607400000000197e+00 0.000000000000000000e+00 -1.240999192000000056e-01 0.000000000000000000e+00
4.136274000000000228e+02 1.194573971000000068e+00 1.217547522999999909e+00 3.546354379000000279e+01 9.484384842000000049e+01 7.266692623999999601e-01 -1.751578657000000039e+00 3.385043512999999837e+00 0.000000000000000000e+00 -1.156492301999999944e-01 0.000000000000000000e+00
